Potential (V),Current (µA)
0.337387,5.5999750000000005e-06
0.339536,0.0
0.341684,1.6799928e-05
0.343833,1.1199951000000002e-05
0.345982,0.0
0.34813099999999997,5.5999750000000005e-06
0.35028,1.6799928e-05
0.352429,5.5999750000000005e-06
0.354578,0.0
0.35672699999999996,1.6799928e-05
0.358876,1.6799928e-05
0.361025,0.0
0.363174,5.5999750000000005e-06
0.365323,1.6799928e-05
0.36747199999999997,5.5999750000000005e-06
0.369621,0.0
0.37177,1.1199951000000002e-05
0.373919,1.6799928e-05
0.37606799999999996,5.5999750000000005e-06
0.37821699999999997,5.5999750000000005e-06
0.380366,1.6799928e-05
0.382515,5.5999750000000005e-06
0.384664,0.0
0.38681299999999996,1.1199951000000002e-05
0.388962,1.6799928e-05
0.391111,0.0
0.39326,5.5999750000000005e-06
0.39540899999999995,1.6799928e-05
0.397557,1.1199951000000002e-05
0.399706,0.0
0.40185499999999996,1.1199951000000002e-05
0.404004,1.6799928e-05
0.406153,0.0
0.408302,5.5999750000000005e-06
0.41045099999999995,1.6799928e-05
0.41259999999999997,1.1199951000000002e-05
0.414749,0.0
0.416898,1.1199951000000002e-05
0.419047,1.6799928e-05
0.42119599999999996,0.0
0.42334499999999997,5.5999750000000005e-06
0.425494,1.6799928e-05
0.427643,5.5999750000000005e-06
0.429792,0.0
0.43194099999999996,1.1199951000000002e-05
0.43409,1.6799928e-05
0.436239,5.5999750000000005e-06
0.438388,5.5999750000000005e-06
0.44053699999999996,1.6799928e-05
0.44268599999999997,1.1199951000000002e-05
0.444835,5.5999750000000005e-06
0.446984,1.6799928e-05
0.449133,1.6799928e-05
0.45128199999999996,5.5999750000000005e-06
0.45343,5.5999750000000005e-06
0.45557899999999996,1.6799928e-05
0.45772799999999997,1.1199951000000002e-05
0.459877,0.0
0.462026,1.1199951000000002e-05
0.464175,1.6799928e-05
0.46632399999999996,5.5999750000000005e-06
0.468473,5.5999750000000005e-06
0.470622,1.6799928e-05
0.472771,1.1199951000000002e-05
0.47491999999999995,0.0
0.47706899999999997,1.1199951000000002e-05
0.479218,1.6799928e-05
0.481367,0.0
0.483516,5.5999750000000005e-06
0.48566499999999996,1.6799928e-05
0.48781399999999997,1.1199951000000002e-05
0.489963,0.0
0.492112,1.1199951000000002e-05
0.49426099999999995,1.6799928e-05
0.49640999999999996,5.5999750000000005e-06
0.498559,5.5999750000000005e-06
0.5007079999999999,1.6799928e-05
0.498559,1.1199951000000002e-05
0.49640999999999996,0.0
